Source,CH1
Second,Volt
 0.00000020200,-0.16000
 0.00000020300,-0.12000
 0.00000020400,-0.12000
 0.00000020500,-0.12000
 0.00000020600,-0.12000
 0.00000020700,-0.12000
 0.00000020800,-0.16000
 0.00000020900,-0.12000
 0.00000021000,-0.12000
 0.00000021100,-0.16000
 0.00000021200,-0.12000
 0.00000021300,-0.16000
 0.00000021400,-0.16000
 0.00000021500,-0.16000
 0.00000021600,-0.16000
 0.00000021700,-0.16000
 0.00000021800,-0.12000
 0.00000021900,-0.16000
 0.00000022000,-0.20000
 0.00000022100,-0.16000
 0.00000022200,-0.16000
 0.00000022300,-0.16000
 0.00000022400,-0.16000
 0.00000022500,-0.20000
 0.00000022600,-0.20000
 0.00000022700,-0.20000
 0.00000022800,-0.20000
 0.00000022900,-0.20000
 0.00000023000,-0.16000
 0.00000023100,-0.20000
 0.00000023200,-0.16000
 0.00000023300,-0.16000
 0.00000023400,-0.16000
 0.00000023500,-0.20000
 0.00000023600,-0.16000
 0.00000023700,-0.16000
 0.00000023800,-0.20000
 0.00000023900,-0.16000
 0.00000024000,-0.16000
 0.00000024100,-0.16000
 0.00000024200,-0.16000
 0.00000024300,-0.16000
 0.00000024400,-0.16000
 0.00000024500,-0.16000
 0.00000024600,-0.16000
 0.00000024700,-0.16000
 0.00000024800,-0.16000
 0.00000024900,-0.16000
 0.00000025000,-0.12000
 0.00000025100,-0.16000
 0.00000025200,-0.12000
 0.00000025300,-0.16000
 0.00000025400,-0.16000
 0.00000025500,-0.12000
 0.00000025600,-0.16000
 0.00000025700,-0.16000
 0.00000025800,-0.16000
 0.00000025900,-0.16000
 0.00000026000,-0.16000
 0.00000026100,-0.16000
 0.00000026200,-0.16000
 0.00000026300,-0.16000
 0.00000026400,-0.12000
 0.00000026500,-0.16000
 0.00000026600,-0.16000
 0.00000026700,-0.16000
 0.00000026800,-0.12000
 0.00000026900,-0.20000
